size,tile_config,decomposition,raster,swizzle,split_factor,tflops,pytorch_tflops,config_name
128,128x256x64,Heuristic,Heuristic,1,1,0.334367357868098,0.25327923567717475,128x256x64_Heuristic_RasterH_Swz1
128,128x256x64,Heuristic,Heuristic,2,1,0.33608205036712585,0.25327923567717475,128x256x64_Heuristic_RasterH_Swz2
128,128x256x64,Heuristic,Heuristic,4,1,0.33351654385199314,0.25327923567717475,128x256x64_Heuristic_RasterH_Swz4
128,128x256x64,Heuristic,Heuristic,8,1,0.33394140893615126,0.25327923567717475,128x256x64_Heuristic_RasterH_Swz8
128,128x256x64,Heuristic,Along N,1,1,0.33608205036712585,0.25327923567717475,128x256x64_Heuristic_RasterN_Swz1
128,128x256x64,Heuristic,Along N,2,1,0.3318278396750698,0.25327923567717475,128x256x64_Heuristic_RasterN_Swz2
128,128x256x64,Heuristic,Along N,4,1,0.33098990856770466,0.25327923567717475,128x256x64_Heuristic_RasterN_Swz4
128,128x256x64,Heuristic,Along N,8,1,0.334367357868098,0.25327923567717475,128x256x64_Heuristic_RasterN_Swz8
128,128x256x64,Heuristic,Along M,1,1,0.3326700487216213,0.25327923567717475,128x256x64_Heuristic_RasterM_Swz1
128,128x256x64,Heuristic,Along M,2,1,0.33351654385199314,0.25327923567717475,128x256x64_Heuristic_RasterM_Swz2
128,128x256x64,Heuristic,Along M,4,1,0.3268628449227058,0.25327923567717475,128x256x64_Heuristic_RasterM_Swz4
128,128x256x64,Heuristic,Along M,8,1,0.33351654385199314,0.25327923567717475,128x256x64_Heuristic_RasterM_Swz8
128,128x256x64,StreamK,Heuristic,1,1,0.33351654385199314,0.25327923567717475,128x256x64_StreamK_RasterH_Swz1
128,128x256x64,StreamK,Heuristic,2,1,0.334367357868098,0.25327923567717475,128x256x64_StreamK_RasterH_Swz2
128,128x256x64,StreamK,Heuristic,4,1,0.33608205036712585,0.25327923567717475,128x256x64_StreamK_RasterH_Swz4
128,128x256x64,StreamK,Heuristic,8,1,0.3347943823563506,0.25327923567717475,128x256x64_StreamK_RasterH_Swz8
128,128x256x64,StreamK,Along N,1,1,0.3318278396750698,0.25327923567717475,128x256x64_StreamK_RasterN_Swz1
